order_id,book_id,quantity,price_at_purchase
44,10170,2,16.53
45,10504,2,18.65
45,3484,2,7.53
46,1766,1,19.39
46,12768,1,19.37
47,596,3,8.71
47,8081,1,8.00
47,4353,1,12.76
47,3178,1,21.24
48,5565,2,6.69
48,11614,3,17.89
49,5903,1,14.63
49,3188,3,8.78
49,8926,2,9.46
50,3717,1,18.97
50,11386,3,17.44
50,707,2,17.27
50,3654,2,20.17
51,9238,3,6.21
51,11588,1,23.20
51,12962,1,12.85
52,4239,3,11.79
53,5337,2,20.46
53,11758,2,13.86
53,9830,3,8.37
53,13855,1,18.21
53,13456,2,18.01
54,1082,1,17.22
54,2290,2,10.69
54,159,1,12.73
54,12793,2,20.28
55,877,1,12.08
55,6232,1,13.65
56,13087,2,8.35
56,4252,2,13.52
57,12446,2,20.95
57,351,2,11.24
57,11378,3,23.03
57,7086,2,6.39
58,12146,3,10.71
58,10916,1,14.25
58,1387,2,23.57
59,8989,2,8.88
59,13920,2,15.46
59,10989,1,14.87
59,11576,3,12.09
60,3776,2,18.94
60,3537,3,10.01
61,2058,2,12.32
61,3935,2,23.41
61,8524,1,9.83
61,11336,1,18.95
61,1685,2,14.80
62,9430,2,11.90
62,5512,1,15.08
62,6341,2,16.45
62,12323,2,19.76
62,8671,1,23.50
63,6779,1,22.35
63,2928,1,19.31
63,6313,1,10.55
64,11179,2,14.03
64,8530,2,21.10
65,10189,2,18.30
66,11276,3,10.61
66,3018,3,20.31
67,337,2,21.26
67,2803,2,13.77
67,9028,3,22.95
67,6607,3,16.55
67,10940,1,5.38
68,136,2,11.65
68,8245,1,18.46
68,10945,1,15.78
69,13361,3,9.66
69,11777,1,14.69
69,9065,3,6.44
70,1864,1,16.81
70,752,1,11.34
70,5562,2,20.65
70,5508,3,23.19
70,5111,1,22.62
71,3277,1,7.37
71,4922,1,23.68
72,13893,2,7.00
72,3615,2,23.53
72,1653,1,20.87
72,4349,1,5.19
72,3536,1,22.36
73,9549,1,5.37
73,13813,3,21.58
73,9614,1,24.78
73,5382,2,12.35
73,2420,3,23.31
74,10323,3,10.28
74,9235,3,20.59
74,9335,2,20.72
75,1689,1,8.05
75,5773,3,6.65
75,1605,1,5.15
76,573,2,20.04
76,2587,2,20.49
76,9523,3,5.77
76,2620,1,9.26
77,11219,2,22.17
77,12862,1,18.49
78,9646,1,16.40
78,7637,1,22.77
79,9494,2,15.29
79,6382,1,11.17
79,5977,3,13.51
80,8700,3,19.76
80,10006,2,12.43
80,6783,2,24.75
81,9008,1,20.78
81,12187,2,11.82
82,51,3,17.87
82,6749,2,22.87
82,8552,3,15.55
82,260,1,9.67
82,582,3,6.00
83,3426,2,22.29
84,13116,1,8.27
84,12398,3,17.48
84,13185,1,18.91
84,7496,1,17.60
85,6440,2,11.39
85,2648,1,13.91
85,8458,2,6.16
85,3465,2,14.60
86,4620,2,19.77
86,10340,1,8.57
86,5060,3,23.80
86,10562,3,9.25
86,4248,2,16.88
87,4308,1,16.36
87,4085,1,21.59
88,4130,3,15.21
88,4850,1,22.51
89,6423,2,12.33
89,2601,3,18.04
89,9073,1,10.89
90,748,1,9.61
91,10544,1,14.73
92,618,3,18.47
92,8987,2,22.57
92,5957,2,11.81
92,6510,3,14.45
93,12982,1,19.71
94,11421,2,8.28
95,109,1,22.01
96,4714,1,10.77
96,4565,1,23.63
96,9179,1,10.20
97,13095,3,6.36
97,7701,1,7.53
98,5072,1,6.43
98,7983,1,6.81
98,5116,1,15.66
98,338,1,16.23
98,10890,1,8.41
99,8852,3,14.23
99,1299,3,23.15
99,10616,3,18.39
100,5127,3,22.96
100,11679,3,16.64
100,7892,3,17.20
100,8899,1,13.27
101,7735,2,6.50
101,7217,1,16.98
101,8906,3,16.02
101,7246,2,17.25
102,11813,3,15.43
102,837,3,5.14
103,682,1,24.70
103,2651,2,15.19
104,10721,2,24.60
104,3283,3,10.97
104,1563,2,12.00
104,1377,1,12.99
105,7596,2,24.84
105,10743,3,10.72
105,2783,1,23.31
106,865,1,5.99
106,1532,1,23.67
106,4275,3,15.36
107,5861,1,21.90
108,3814,1,9.69
108,13184,1,5.70
109,3562,1,23.08
109,6738,3,16.15
109,9094,2,21.61
109,8293,3,8.00
110,11190,2,24.15
110,5798,2,7.12
110,4902,1,5.37
110,7395,1,13.09
110,12678,1,21.16
111,8854,3,12.52
111,10436,3,20.09
111,6401,1,13.57
111,276,1,22.27
112,7478,2,19.63
112,1427,3,16.26
112,10526,3,9.21
113,1257,3,15.78
113,6936,3,23.96
113,5662,1,19.39
113,13496,1,14.01
114,6243,1,10.73
114,145,1,24.52
114,5321,2,6.53
114,12686,3,10.89
114,11589,1,21.67
115,9878,3,9.51
115,3192,1,17.15
116,256,2,21.52
116,3429,2,12.09
116,6094,1,21.70
117,7630,2,21.15
117,9077,3,14.26
117,11557,1,11.94
118,10892,1,18.08
118,4164,2,19.11
118,13939,2,14.40
118,9956,3,18.58
118,9009,2,9.60
119,6282,2,21.90
119,5653,1,16.10
119,8544,1,7.11
120,6990,2,24.28
120,2129,3,17.24
120,3850,1,12.16
120,2787,3,23.03
121,7961,2,9.20
121,181,1,13.64
121,7707,1,5.76
121,12290,2,8.51
122,13359,2,10.17
122,8171,1,10.50
122,4461,1,6.40
122,2103,2,13.22
123,650,2,23.11
123,4773,1,16.13
123,2617,1,22.93
123,11715,2,17.25
123,12241,1,16.94
124,6651,1,10.16
124,221,2,24.07
124,6432,1,9.18
125,7858,3,22.52
125,10615,3,11.86
125,6786,1,8.55
125,7477,1,15.57
125,11026,1,12.24
126,7916,2,18.22
126,11991,3,20.00
126,4174,1,11.78
126,5751,2,11.39
126,7152,2,24.96
127,6561,3,22.31
127,7585,3,14.62
127,6730,3,14.32
127,2858,2,7.96
127,2290,1,10.69
128,6500,2,21.75
128,9880,1,10.32
128,6867,3,11.73
128,4733,1,23.50
129,8802,1,8.46
129,3998,2,13.14
130,10124,1,9.26
130,2293,3,24.66
130,9760,3,17.47
130,12852,3,23.71
130,10182,3,14.38
131,11100,3,6.50
132,1417,3,6.49
132,12688,2,17.40
132,13822,3,15.91
132,3619,3,17.54
133,3110,1,11.06
133,13355,2,23.15
134,3775,1,7.28
135,7595,3,19.67
135,13004,2,22.35
135,10381,3,10.96
135,4653,1,9.67
135,8498,1,19.35
136,6174,2,21.99
136,1291,1,14.98
136,570,2,19.09
136,7222,2,15.04
136,8824,1,16.61
137,7131,1,12.45
137,12716,2,13.78
137,8363,3,16.07
138,6182,3,20.06
138,8242,3,19.87
138,11585,3,15.46
138,4696,2,21.08
138,1203,1,5.66
139,12260,3,22.25
139,12825,1,15.36
139,7665,3,22.34
140,11820,3,16.97
140,5003,3,22.14
140,2863,1,19.13
140,6355,2,7.33
140,12134,3,23.36
141,13221,1,21.02
141,2900,1,8.49
141,13185,1,18.91
141,3253,1,5.38
142,13035,1,16.81
143,3895,3,20.45
143,6044,3,8.24
144,1500,1,23.43
144,9685,3,6.53
144,9833,1,20.35
145,4892,1,11.48
145,2602,1,10.12
145,4984,3,7.25
145,1526,1,14.10
146,13165,3,9.00
146,9640,3,10.99
146,11452,2,24.68
146,6325,2,21.95
147,12532,3,10.72
147,7320,3,11.42
147,6755,3,7.78
147,10073,1,17.92
148,8974,1,17.09
148,5609,3,18.88
148,12624,1,24.65
149,4889,1,11.53
149,6384,2,9.61
149,10451,2,6.80
149,10564,3,23.06
149,7390,1,9.84
150,7994,3,9.12
150,10498,1,10.49
150,1384,3,10.39
150,2109,3,12.35
150,6705,2,22.80
151,7131,1,12.45
152,8335,2,11.11
152,6998,3,9.21
152,12684,2,20.51
153,6280,1,20.67
153,1419,2,14.19
153,12261,2,24.63
154,340,2,8.07
154,8715,3,19.34
154,11730,2,5.34
154,2635,1,15.93
155,7542,2,20.06
155,13954,3,22.05
155,12322,2,24.18
156,4257,3,8.70
156,9374,1,14.51
156,8273,1,21.34
156,11779,1,20.68
156,6041,3,16.87
157,2152,3,22.77
158,774,1,19.29
158,8637,1,9.26
158,5568,3,17.40
158,9496,3,13.42
158,5213,1,14.38
159,7092,1,16.21
159,7237,3,22.81
160,11702,2,16.32
160,6689,1,10.82
160,13721,3,19.28
160,4406,2,12.98
160,426,1,8.96
161,1141,1,18.77
161,8900,2,24.62
162,10463,2,15.27
162,2690,1,20.71
162,1617,2,12.02
162,139,3,23.61
162,7257,2,10.05
163,7893,1,24.98
164,5834,1,9.27
164,8944,3,14.43
164,13965,3,5.61
164,530,3,12.19
164,5340,3,5.39
165,11593,3,15.96
165,12529,1,14.32
166,4894,1,22.66
166,5015,1,11.07
166,5183,1,16.02
167,9432,2,18.49
167,13751,2,20.17
168,1135,1,21.08
168,7553,3,10.15
169,2950,1,24.71
169,10146,1,9.68
169,4538,3,21.69
169,11544,2,24.77
170,13780,3,14.66
170,13151,3,6.40
170,12102,3,24.02
170,1135,1,21.08
170,8318,3,7.93
171,12736,1,24.31
171,8928,3,24.86
172,7585,3,14.62
173,2568,1,8.74
173,9914,2,5.79
173,4615,2,19.04
173,6994,1,19.07
173,2620,1,9.26
174,12454,2,22.99
174,11102,3,14.12
174,1948,3,13.05
175,4958,2,18.05
175,12895,1,14.90
175,8876,1,17.03
176,5059,2,11.95
176,4191,3,15.61
176,11968,3,7.59
176,1427,3,16.26
176,10985,3,17.40
177,3235,3,13.23
177,7955,1,21.34
178,7709,3,16.60
178,6646,3,12.07
178,8324,3,22.48
178,1109,1,11.17
178,10174,1,10.31
179,6191,3,11.61
180,9189,1,17.58
180,10319,2,13.84
180,9909,1,7.44
180,11610,1,16.35
181,1531,2,13.81
181,987,1,11.68
181,250,1,6.73
181,13567,2,16.93
182,12483,1,19.36
182,5262,1,23.81
183,2127,2,11.61
183,1826,1,23.66
184,2441,2,5.48
185,9491,2,17.61
185,415,2,13.60
186,6678,3,21.66
186,10428,3,17.49
186,1087,3,22.65
187,10975,2,21.25
187,6400,3,7.59
188,9822,3,23.00
189,5041,2,12.78
190,8793,2,20.11
190,13799,1,20.58
190,5635,3,8.97
190,1750,1,6.09
190,1352,1,23.97
191,10216,2,10.39
192,10595,2,22.34
193,5590,1,9.24
193,4069,1,9.80
193,11582,2,21.25
193,13570,3,15.69
193,471,3,5.92
194,5851,2,14.36
194,5415,1,11.39
194,7654,2,7.87
194,1058,2,16.98
194,11486,2,22.00
195,9328,3,20.92
195,13901,2,11.97
195,6405,2,12.20
195,9675,2,21.31
196,120,1,12.00
196,858,3,10.43
196,5422,2,8.09
196,459,3,19.22
197,12438,1,23.51
198,5086,1,11.74
198,12483,3,19.36
199,11415,3,20.41
199,12987,1,11.23
199,12226,2,9.08
199,11479,1,9.23
199,1108,3,23.26
200,10857,2,9.81
200,6273,3,23.84
201,562,3,6.13
201,3460,1,24.54
202,6834,1,10.66
202,13261,1,24.24
202,13043,1,5.22
202,10843,1,12.60
202,10377,3,6.20
203,249,1,15.70
203,4041,1,5.29
204,3863,2,21.55
204,6023,1,15.82
204,1233,1,11.38
204,620,3,21.27
204,10558,1,9.86
205,9507,1,16.50
205,10096,3,15.11
205,13443,2,11.67
205,8255,1,5.57
206,3173,3,7.88
206,292,1,23.06
206,5712,2,9.93
206,1960,3,19.99
207,7248,1,20.61
207,400,3,21.49
207,1025,2,11.47
207,5031,1,18.08
207,12135,3,7.47
208,12971,3,12.09
208,2715,3,22.70
209,10352,2,16.72
209,7491,2,21.83
209,845,1,15.11
209,7698,3,18.56
209,11533,1,14.59
210,12371,2,8.29
211,3467,2,8.77
211,2401,3,18.12
211,12805,3,15.27
211,10344,1,9.08
211,9182,2,16.04
212,2036,3,18.13
212,753,2,24.79
212,11364,3,22.37
212,5978,1,23.59
212,6802,1,21.42
213,2451,2,23.82
213,1634,1,12.32
213,6438,1,17.61
213,3831,3,5.82
214,4500,2,17.94
214,4933,2,22.31
214,6286,3,13.82
214,5491,1,12.61
215,8272,1,18.07
215,4697,1,21.00
215,4826,1,5.16
215,13684,1,5.12
216,762,2,20.35
216,11228,1,17.56
216,3119,1,8.68
216,8238,3,11.19
217,10005,1,10.37
217,7677,1,11.82
217,13968,3,16.08
217,1339,2,22.68
218,12003,1,22.99
218,8669,2,18.11
218,12924,2,15.68
219,5474,2,21.84
219,8574,2,23.74
219,5184,2,15.45
220,10776,2,8.13
220,3182,1,12.78
220,11987,1,8.32
221,13694,1,8.50
221,3455,3,16.18
221,1751,1,7.50
222,5866,3,22.55
223,11111,2,9.41
223,1507,1,21.30
223,8670,2,20.57
223,8035,3,6.76
224,1445,3,21.52
224,5779,2,15.60
224,2330,3,24.63
224,11863,2,7.93
225,10263,3,5.04
225,10016,1,15.04
225,8448,2,21.00
225,7192,1,12.43
225,9786,2,14.83
226,4644,2,9.37
227,9812,2,8.58
227,1228,3,9.17
227,6806,2,5.89
228,2230,3,5.70
229,8336,1,10.32
229,11158,3,23.21
229,13744,2,21.11
229,6599,1,15.68
230,7956,2,23.14
230,2197,1,19.28
230,8638,1,16.18
230,1115,2,7.70
230,479,3,20.09
231,10520,1,5.48
231,347,1,14.96
231,3504,3,18.39
231,7585,1,14.62
231,8547,1,6.43
232,3700,2,20.98
233,7895,2,21.61
233,5903,2,14.63
233,8240,3,23.45
234,1563,2,12.00
234,9009,1,9.60
235,4211,2,5.67
235,12698,3,11.37
236,12774,2,23.66
236,4296,3,14.25
236,952,2,5.79
236,5555,3,14.75
236,4897,2,24.67
237,5674,2,7.81
237,4356,1,6.56
237,8873,2,21.67
237,12474,1,13.98
237,4194,3,11.08
238,8522,3,16.55
238,11553,1,10.68
239,5508,2,23.19
239,8259,3,15.63
240,8341,3,12.57
241,9729,2,9.94
241,6169,3,10.99
241,9898,2,17.02
241,10304,1,20.70
242,11873,1,23.80
242,13512,1,7.72
243,6209,1,24.34
244,7089,2,7.61
244,11600,2,22.09
244,2856,1,6.23
244,12791,1,18.64
245,704,1,22.53
245,2363,1,9.19
245,10203,1,10.39
245,233,3,14.60
245,456,3,19.50
246,13401,2,9.53
246,11634,1,6.83
247,11514,1,12.93
247,7419,2,10.48
247,3057,2,11.64
247,12018,2,18.77
248,4775,1,9.99
248,278,2,15.61
248,8007,2,16.84
248,6993,1,5.95
249,5295,3,15.33
249,5910,1,17.45
249,10573,1,15.00
249,1798,1,15.24
250,13697,3,15.59
250,2786,3,11.43
250,6404,1,8.26
250,10873,2,7.78
251,8557,1,20.25
251,11085,3,23.58
251,2954,3,7.16
252,3366,1,8.32
252,7540,3,21.07
252,4219,1,11.34
252,1808,2,17.39
253,8852,2,14.23
254,4727,1,5.62
254,7794,1,21.04
255,10687,2,5.86
255,1084,1,24.87
255,5967,2,19.77
255,9460,1,5.69
255,4705,1,19.77
256,7442,1,19.05
256,13874,1,21.86
256,3076,3,10.35
256,6216,1,9.11
257,9291,1,8.88
257,12103,1,10.60
257,9025,2,12.75
258,3825,1,24.32
258,11505,2,17.64
258,10192,2,14.31
259,10346,3,24.30
259,10597,1,16.67
259,3095,3,9.93
259,2890,2,15.62
259,9580,1,14.69
260,3578,2,14.34
260,1770,2,18.53
260,5809,1,20.35
260,5617,1,23.26
260,11064,1,15.49
261,9929,1,5.86
262,9818,3,7.61
262,13434,1,11.77
263,6060,3,17.08
263,11163,2,8.39
263,3126,1,20.50
264,5108,1,24.29
264,4562,1,19.27
265,11999,2,17.84
265,8638,1,16.18
266,9250,1,20.94
266,8237,2,10.18
267,12076,3,14.63
267,5692,3,9.25
267,5948,1,13.60
267,13839,2,7.29
268,13161,1,10.29
268,12671,2,5.92
269,7379,3,5.37
269,12214,2,24.56
269,1618,2,20.84
269,1767,2,7.35
270,4933,1,22.31
270,1891,1,20.19
270,403,3,19.52
271,5931,2,24.49
271,9753,1,6.17
271,7235,3,11.26
271,3855,2,14.98
272,13559,3,12.78
272,10405,1,18.53
273,13325,3,20.34
274,8792,3,16.10
274,11738,1,19.50
274,3364,1,15.44
275,3257,2,7.56
275,6906,3,13.71
275,6647,1,23.58
275,8413,2,9.19
275,158,3,14.20
276,7700,1,11.12
277,1101,1,6.03
277,7773,2,21.99
277,12731,1,20.82
278,9195,3,8.37
278,11230,2,16.47
279,12130,1,15.28
279,10723,3,17.64
279,350,2,5.91
280,13237,2,21.39
280,8816,1,24.58
280,3383,3,5.41
280,2408,3,6.68
280,8934,1,7.36
281,8622,2,13.21
281,1726,2,21.60
281,3878,1,20.73
281,10336,1,8.47
281,7241,3,6.16
282,1029,3,21.19
282,5119,2,12.76
282,3526,2,16.25
282,11486,1,22.00
282,8522,3,16.55
283,637,1,6.87
283,6385,1,6.18
283,2574,2,10.90
284,5951,2,19.89
284,3970,3,23.01
285,3009,1,7.09
285,7446,1,11.42
285,7298,1,14.58
285,10677,3,14.66
285,13128,1,5.40
286,8971,1,13.64
286,6512,3,16.19
287,10616,3,18.39
287,10332,2,19.88
287,4933,3,22.31
288,11613,3,10.79
288,403,2,19.52
288,4907,3,12.34
289,8258,1,9.94
289,1548,3,22.08
289,9523,2,5.77
289,2837,3,17.45
290,13190,1,23.46
290,1000,2,6.95
290,13342,3,18.19
290,12748,2,16.86
290,3047,2,14.02
291,3114,2,9.64
291,8810,1,24.05
291,5014,1,6.11
292,10414,2,20.98
292,726,2,14.45
292,2861,3,18.23
293,9643,1,7.91
294,9179,3,10.20
294,13705,3,14.63
294,8317,3,13.73
294,1678,2,24.76
294,13919,3,7.02
295,3161,3,13.84
295,12037,2,8.24
295,1927,1,24.32
296,1524,2,20.56
296,5680,3,18.95
296,4213,3,19.78
296,3023,3,18.18
297,7103,2,14.77
297,12162,3,8.70
297,12720,2,13.42
298,4546,1,24.20
298,4468,1,11.17
298,6985,3,22.49
299,7649,2,18.34
300,3421,2,13.85
301,8687,1,10.90
301,13633,1,22.33
301,12546,2,13.56
301,6984,1,18.35
301,3758,3,8.81
302,13184,1,5.70
302,2214,2,24.63
302,1719,2,8.09
303,12397,1,15.30
303,7311,1,19.99
303,10090,2,24.20
303,4744,3,8.35
303,5945,3,18.81
304,6257,1,24.82
304,11513,1,22.77
304,12969,2,24.47
304,12973,2,24.53
304,106,2,23.10
305,11530,1,20.79
305,2137,2,8.73
305,12820,2,11.80
305,6862,2,6.55
306,9212,1,6.58
306,12678,1,21.16
307,5273,2,7.38
308,1056,3,12.69
308,5646,1,10.54
308,10073,2,17.92
308,8839,3,20.28
309,753,3,24.79
309,12620,2,10.57
309,7832,1,17.70
309,1820,3,9.35
309,5049,1,24.65
310,6455,2,7.63
310,11918,3,21.00
310,2096,1,15.39
310,4169,3,5.69
311,8384,2,22.93
311,4073,1,12.25
312,9589,1,23.59
312,11945,1,5.31
312,2004,3,23.85
312,308,2,10.41
312,6886,1,13.85
313,7505,1,6.75
313,7158,1,6.36
313,10632,1,18.67
313,13852,2,13.31
314,13379,1,23.31
314,8095,1,13.96
314,13456,3,18.01
314,1982,3,6.23
315,1688,3,8.70
316,12470,1,15.48
316,1336,1,8.16
316,9154,2,8.71
317,3734,3,12.10
317,11032,2,12.55
317,12936,1,24.41
317,10994,2,20.60
317,12050,2,12.14
318,1622,2,22.86
318,12715,1,21.57
318,3685,3,16.48
318,3185,1,10.92
318,3792,3,23.91
319,8828,1,11.01
320,2147,2,23.16
320,2500,2,12.82
320,4871,2,14.29
321,9921,1,15.21
321,12135,2,7.47
321,12432,2,19.43
322,5224,3,20.22
322,1320,1,9.76
323,10204,1,22.54
324,6824,3,24.75
324,5899,2,7.51
324,11671,2,10.18
324,13714,3,24.94
324,6126,3,16.35
325,7080,2,6.88
326,7992,1,8.23
326,11756,2,17.56
326,12747,1,6.69
326,2959,1,20.13
326,13235,3,10.12
327,3529,1,15.52
327,2479,3,7.96
327,12573,2,17.07
327,9059,3,21.94
327,13845,2,5.85
328,5729,1,14.69
328,6990,2,24.28
328,10160,1,11.83
328,7926,2,19.27
328,10247,1,16.24
329,13002,1,6.23
329,9524,2,14.76
329,8465,3,7.93
329,6562,3,23.09
329,6711,3,19.92
330,12424,1,10.12
330,9508,2,15.51
330,10693,1,20.60
331,10288,2,12.33
332,8946,3,9.79
332,5576,2,5.32
332,6795,1,21.46
332,12618,3,13.77
333,8663,3,9.45
333,10760,1,19.48
334,7730,3,6.33
334,3837,2,11.70
334,11340,2,13.03
335,13525,1,6.83
335,536,3,21.04
335,12822,3,18.88
335,3017,2,20.51
336,8176,1,13.85
336,11014,2,19.82
336,8163,2,12.55
336,1787,3,13.21
336,3121,3,8.92
337,10231,3,16.92
337,5002,2,9.13
338,915,3,11.86
338,9133,1,11.33
338,2953,3,5.42
339,8075,2,22.15
339,10419,2,24.75
340,8282,2,9.18
340,10730,2,12.80
340,11520,2,10.05
341,10987,3,16.65
341,1826,2,23.66
341,339,1,12.35
341,1816,1,5.09
342,1850,3,22.78
342,12601,2,19.60
342,1969,2,11.25
342,7081,1,5.12
343,12380,2,6.61
344,5965,1,24.19
344,9218,2,10.23
344,5612,2,17.92
344,4529,3,12.67
344,2582,3,24.19
345,10763,1,14.26
346,4752,2,22.39
346,5570,2,18.71
346,10978,3,15.14
347,2092,1,9.09
347,5058,1,16.98
347,6419,2,13.05
347,7616,3,16.85
348,9798,2,9.21
348,1,3,19.22
349,12673,2,16.29
349,3049,1,20.35
350,4906,1,12.50
350,184,2,9.94
350,722,2,24.01
351,860,3,8.93
352,8166,3,21.91
353,9148,1,23.81
353,8193,1,19.50
353,12334,2,19.49
354,6143,3,24.27
354,5363,3,10.33
355,13491,3,11.57
355,5134,3,22.38
355,7564,1,20.76
356,8450,1,24.92
356,7820,3,22.71
356,2245,3,15.14
357,2831,2,19.83
357,528,2,17.35
357,1986,1,19.31
357,10103,2,9.33
358,12914,2,18.58
359,13621,1,13.12
359,4139,1,12.53
359,1116,1,22.89
360,12314,1,17.65
360,12229,2,8.18
360,8330,3,21.68
360,2176,3,7.10
360,7615,1,5.11
361,7115,3,9.79
362,9405,2,18.58
363,5818,2,6.52
363,473,2,18.09
363,9868,3,20.86
364,4649,1,5.84
364,9326,3,13.38
364,6772,2,22.64
364,1628,1,6.36
365,171,1,14.70
365,11579,3,6.85
366,922,3,11.54
366,12696,2,10.16
366,11393,1,23.08
367,11323,1,5.01
367,8401,2,8.44
367,5451,3,20.10
368,3991,2,12.57
368,7862,2,19.78
369,4830,2,15.97
369,3921,1,22.34
370,10691,1,13.20
370,3424,2,5.18
370,11118,3,11.29
370,6060,2,17.08
370,5154,3,22.20
371,2174,1,21.82
371,4376,1,7.95
372,6319,3,19.00
372,13206,2,18.89
372,5507,3,5.87
372,13426,2,5.72
373,10058,2,16.56
373,8646,3,23.16
374,6421,2,18.67
374,6036,1,17.99
375,12983,2,19.13
375,8564,2,9.63
375,1972,3,17.49
375,8964,1,22.76
375,1023,1,20.34
376,13686,3,23.75
376,2078,2,8.57
376,11033,3,10.07
376,3865,1,22.43
377,2899,2,19.70
377,7124,1,6.57
378,6244,2,5.41
379,5456,1,11.51
379,13170,2,18.60
379,11508,1,6.64
379,1749,1,12.65
380,7501,2,16.47
380,12678,1,21.16
380,5182,3,6.56
380,11414,3,10.86
381,12319,3,18.23
382,3442,2,8.88
382,7764,2,13.62
383,2065,2,12.42
383,4864,1,8.65
383,10973,1,7.31
383,8917,1,7.65
384,7046,1,23.97
384,1468,2,18.05
384,11539,3,21.31
384,8078,1,5.83
385,9886,1,20.41
385,6274,2,6.52
385,1719,3,8.09
386,9166,3,18.70
386,6102,2,16.29
386,5111,1,22.62
386,5842,2,15.80
386,3013,1,22.16
387,3721,3,14.07
387,6452,2,16.05
387,7913,2,10.91
388,10656,3,22.71
388,4652,2,20.42
389,4409,3,18.85
389,13309,3,20.76
390,8149,1,13.46
391,3892,2,21.49
391,10018,3,15.28
391,7436,1,6.14
391,3118,2,6.14
391,7857,1,12.69
392,7737,1,22.34
392,678,3,9.79
392,13211,2,6.54
392,5065,2,5.03
392,11614,1,17.89
393,1338,1,10.31
393,10771,1,8.91
393,1806,1,6.44
393,3103,3,17.74
394,7447,2,15.39
394,13325,2,20.34
394,8839,1,20.28
394,5780,1,9.44
395,10974,1,17.64
395,7050,3,23.42
395,4391,2,11.20
395,10696,1,12.41
395,3184,1,24.07
396,143,2,16.59
397,5630,3,24.16
397,1050,3,17.94
397,6701,2,13.99
397,12266,2,16.06
397,8395,1,9.96
398,12914,2,18.58
398,4940,3,15.72
399,1951,2,18.70
399,4444,3,16.34
400,12568,3,17.71
400,4898,3,11.91
401,8958,1,13.94
401,4477,2,22.73
401,4726,1,18.67
402,12933,2,19.27
402,8476,1,20.91
402,1499,2,15.56
402,7233,3,7.34
402,1989,2,6.33
403,9616,3,20.88
403,8933,3,10.44
403,3936,1,17.72
404,9352,2,6.87
405,13164,2,14.17
405,7757,1,23.92
405,7584,2,19.82
405,7050,3,23.42
406,12985,2,15.18
406,10394,1,8.42
406,7318,3,23.67
